claim_id,policy_id,event_id,date_of_loss,reported_date,peril_type,claim_status,incurred_amount,paid_to_date,snapshot_date
CLM-000001,POL-004854,CYC-2025-01,2025-02-10,2025-02-17,Riverine Flood,Open,52549.93,0.0,2025-02-17
CLM-000001,POL-004854,CYC-2025-01,2025-02-10,2025-02-17,Riverine Flood,Closed,111473.93,109695.57,2025-03-13
CLM-000002,POL-003028,CYC-2025-02,2025-11-28,2025-12-10,Wind,Open,363369.13,0.0,2025-12-10
CLM-000002,POL-003028,CYC-2025-02,2025-11-28,2025-12-10,Wind,Closed,786830.36,747730.86,2026-06-06
CLM-000003,POL-000247,CYC-2024-01,2024-01-22,2024-02-01,Wind,Open,487268.49,0.0,2024-02-01
CLM-000003,POL-000247,CYC-2024-01,2024-01-22,2024-02-01,Wind,Closed,1136876.21,1001163.58,2024-07-27
CLM-000004,POL-003743,CYC-2025-01,2025-02-09,2025-02-10,Storm Surge,Open,49088.42,0.0,2025-02-10
CLM-000004,POL-003743,CYC-2025-01,2025-02-09,2025-02-10,Storm Surge,Closed,132168.9,119760.84,2025-07-10
CLM-000005,POL-003446,CYC-2024-01,2024-01-22,2024-02-03,Riverine Flood,Open,130007.74,0.0,2024-02-03
CLM-000005,POL-003446,CYC-2024-01,2024-01-22,2024-02-03,Riverine Flood,Closed,262745.33,239227.22,2024-03-03
CLM-000006,POL-000767,CYC-2024-01,2024-01-24,2024-02-05,Riverine Flood,Open,257872.27,0.0,2024-02-05
CLM-000006,POL-000767,CYC-2024-01,2024-01-24,2024-02-05,Riverine Flood,Reopened,558764.63,477001.95,2024-10-10
CLM-000007,POL-002888,CYC-2025-01,2025-02-08,2025-02-13,Riverine Flood,Open,15272.25,0.0,2025-02-13
CLM-000008,POL-001648,CYC-2025-01,2025-02-09,2025-02-17,Riverine Flood,Open,36774.51,0.0,2025-02-17
CLM-000008,POL-001648,CYC-2025-01,2025-02-09,2025-02-17,Riverine Flood,Closed,115838.98,99394.05,2025-03-17
CLM-000009,POL-003200,CYC-2025-02,2025-11-27,2025-12-02,Riverine Flood,Open,340159.52,0.0,2025-12-02
