claim_id,policy_id,event_id,date_of_loss,reported_date,peril_type,claim_status,incurred_amount,paid_to_date,snapshot_date
CLM-001026,POL-002323,CYC-2024-01,2024-01-23,2024-01-28,Wind,Open,109435.68,0.0,2024-01-28
CLM-001026,POL-002323,CYC-2024-01,2024-01-23,2024-01-28,Wind,Closed,209738.18,200404.14,2024-03-22
CLM-001027,POL-003105,CYC-2024-01,2024-01-24,2024-02-01,Storm Surge,Open,100218.99,0.0,2024-02-01
CLM-001027,POL-003105,CYC-2024-01,2024-01-24,2024-02-01,Storm Surge,Closed,173230.34,153419.6,2024-03-11
CLM-001028,POL-002136,CYC-2025-01,2025-02-08,2025-02-11,Wind,Open,147813.28,0.0,2025-02-11
CLM-001029,POL-001668,CYC-2025-01,2025-02-09,2025-02-17,Riverine Flood,Open,45572.58,0.0,2025-02-17
CLM-001029,POL-001668,CYC-2025-01,2025-02-09,2025-02-17,Riverine Flood,Reopened,127392.49,99963.5,2025-08-23
CLM-001030,POL-001923,CYC-2025-01,2025-02-10,2025-02-14,Storm Surge,Open,16675.49,0.0,2025-02-14
CLM-001030,POL-001923,CYC-2025-01,2025-02-10,2025-02-14,Storm Surge,Closed,45334.25,45281.43,2025-03-30
CLM-001031,POL-003769,CYC-2024-01,2024-01-24,2024-01-27,Wind,Open,94705.12,0.0,2024-01-27
CLM-001031,POL-003769,CYC-2024-01,2024-01-24,2024-01-27,Wind,Closed,162097.16,157236.63,2024-04-27
CLM-001032,POL-002215,CYC-2023-02,2023-12-04,2023-12-15,Riverine Flood,Open,84316.22,0.0,2023-12-15
CLM-001032,POL-002215,CYC-2023-02,2023-12-04,2023-12-15,Riverine Flood,Closed,280473.52,266086.2,2024-02-24
CLM-001033,POL-003718,CYC-2025-02,2025-11-29,2025-12-13,Wind,Open,85327.92,0.0,2025-12-13
CLM-001034,POL-001216,CYC-2024-01,2024-01-24,2024-01-27,Riverine Flood,Open,113726.74,0.0,2024-01-27
CLM-001034,POL-001216,CYC-2024-01,2024-01-24,2024-01-27,Riverine Flood,Closed,293097.28,277944.17,2024-06-27
CLM-001035,POL-001399,CYC-2024-01,2024-01-24,2024-01-27,Wind,Open,33874.78,0.0,2024-01-27
CLM-001036,POL-001201,CYC-2024-01,2024-01-24,2024-02-04,Storm Surge,Open,147125.19,0.0,2024-02-04
CLM-001036,POL-001201,CYC-2024-01,2024-01-24,2024-02-04,Storm Surge,Closed,302076.61,276731.77,2024-03-04
CLM-001037,POL-001175,CYC-2025-01,2025-02-08,2025-02-22,Wind,Open,125354.61,0.0,2025-02-22
CLM-001038,POL-003051,CYC-2024-01,2024-01-22,2024-02-05,Wind,Open,333501.83,0.0,2024-02-05
CLM-001038,POL-003051,CYC-2024-01,2024-01-22,2024-02-05,Wind,Closed,986876.36,889102.32,2024-03-31
CLM-001039,POL-000276,CYC-2023-01,2023-02-12,2023-02-23,Wind,Open,202627.38,0.0,2023-02-23
