policy_id,insurer_name,postcode,region_name,wind_risk_band,building_type,sum_insured,mitigation_flag,annual_premium,policy_start_date,policy_end_date
POL-000001,Pacific Rim Insurance,800,Darwin NT,T-W,Home,484053,Shutters Installed,3626.94,2023-04-15,2024-04-14
POL-000002,Pacific Rim Insurance,4825,Mount Isa QLD,B-F,Home,348246,Roof Tie-Down,502.83,2024-06-01,2025-06-01
POL-000003,Pacific Rim Insurance,4870,Cairns QLD,T-W,Home,821412,,7677.81,2024-04-04,2025-04-04
POL-000004,Coral Coast Mutual,6000,Perth WA,B-F,SME,1069659,Roof Tie-Down,1701.43,2023-12-15,2024-12-14
POL-000005,Coral Coast Mutual,810,Darwin NT,T-W,Home,357175,,3116.79,2023-04-10,2024-04-09
POL-000006,Outback Assurance Group,4680,Gladstone QLD,L-P,Home,731741,,3095.58,2025-09-23,2026-09-23
POL-000007,Pacific Rim Insurance,4825,Mount Isa QLD,B-F,Home,898564,,1742.1,2024-01-06,2025-01-05
POL-000008,Northbeam General,4703,Rockhampton QLD,Q-S,SME,1355874,Roof Tie-Down,7900.33,2023-03-23,2024-03-22
POL-000009,Northbeam General,800,Darwin NT,T-W,Home,632554,,5603.82,2023-12-30,2024-12-29
POL-000010,Pacific Rim Insurance,6000,Perth WA,B-F,SME,699483,,1286.55,2023-06-25,2024-06-24
POL-000011,Southern Cross Insurance,4350,Toowoomba QLD,B-F,Home,834004,Elevated Slab,1204.47,2023-11-29,2024-11-28
POL-000012,Pacific Rim Insurance,4350,Toowoomba QLD,B-F,SME,2082607,,3574.56,2023-08-05,2024-08-04
POL-000013,Northbeam General,6714,Karratha WA,T-W,Home,731141,,6449.73,2023-05-23,2024-05-22
POL-000014,Coral Coast Mutual,4825,Cloncurry QLD,B-F,Home,699245,,1358.78,2024-02-13,2025-02-12
POL-000015,Southern Cross Insurance,4350,Toowoomba QLD,B-F,Strata,10279821,Roof Tie-Down,14441.28,2023-02-18,2024-02-18
POL-000016,Outback Assurance Group,810,Darwin NT,T-W,Home,692666,,6707.21,2024-01-30,2025-01-29
POL-000017,Southern Cross Insurance,4810,Townsville QLD,T-W,Strata,11281590,,114908.43,2023-01-12,2024-01-12
POL-000018,Northbeam General,4825,Cloncurry QLD,B-F,SME,1826799,,3032.78,2024-03-21,2025-03-21
POL-000019,Northbeam General,4737,Bowen QLD,Q-S,Home,526183,,3742.98,2025-02-19,2026-02-19
POL-000020,Pacific Rim Insurance,4720,Charters Towers QLD,L-P,Strata,7007072,,31440.75,2024-06-03,2025-06-03
POL-000021,Pacific Rim Insurance,4703,Rockhampton QLD,Q-S,Home,815579,,5782.09,2025-08-02,2026-08-02
POL-000022,Coral Coast Mutual,4870,Cairns QLD,T-W,Home,367301,,3788.82,2025-06-18,2026-06-18
POL-000023,Southern Cross Insurance,4350,Toowoomba QLD,B-F,Home,332582,,549.04,2024-05-12,2025-05-12
POL-000024,Coral Coast Mutual,4825,Cloncurry QLD,B-F,SME,2393478,Roof Tie-Down,3989.3,2023-06-19,2024-06-18
POL-000025,Northbeam General,4720,Charters Towers QLD,L-P,SME,1288346,Elevated Slab,4993.94,2025-02-12,2026-02-12
POL-000026,Outback Assurance Group,6721,Port Hedland WA,T-W,Home,641559,,6019.36,2024-06-13,2025-06-13
POL-000027,Pacific Rim Insurance,800,Darwin NT,T-W,Home,272056,Roof Tie-Down,2235.65,2023-08-24,2024-08-23
POL-000028,Southern Cross Insurance,4350,Toowoomba QLD,B-F,Home,311733,,530.7,2025-07-16,2026-07-16
POL-000029,Pacific Rim Insurance,6714,Karratha WA,T-W,Home,758993,Shutters Installed,5778.59,2023-05-16,2024-05-15
POL-000030,Outback Assurance Group,4802,Townsville QLD,T-W,Home,676833,,6031.79,2023-04-10,2024-04-09
POL-000031,Southern Cross Insurance,4680,Gladstone QLD,L-P,Home,306802,,1333.25,2024-10-23,2025-10-23
