policy_id,insurer_name,postcode,region_name,wind_risk_band,building_type,sum_insured,mitigation_flag,annual_premium,policy_start_date,policy_end_date,broker_code
POL-004001,Coral Coast Mutual,6000,Perth WA,B-F,Home,263930,,471.15,2024-01-06,2025-01-05,BRK-3390
POL-004002,Pacific Rim Insurance,850,Alice Springs NT,B-F,SME,878224,Elevated Slab,1299.23,2025-03-18,2026-03-18,BRK-2071
POL-004003,Southern Cross Insurance,800,Darwin NT,T-W,Home,288946,,2879.61,2023-04-09,2024-04-08,BRK-4118
POL-004004,Pacific Rim Insurance,4825,Mount Isa QLD,B-F,Home,408746,,723.83,2023-02-01,2024-02-01,BRK-1042
POL-004005,Coral Coast Mutual,4740,Mackay QLD,Q-S,Home,849597,Shutters Installed,4898.46,2024-11-16,2025-11-16,BRK-1042
POL-004006,Northbeam General,4737,Bowen QLD,Q-S,Strata,11333259,,79832.25,2023-07-28,2024-07-27,
POL-004007,Southern Cross Insurance,6714,Karratha WA,T-W,Home,467072,,4311.31,2025-07-04,2026-07-04,BRK-1042
POL-004008,Coral Coast Mutual,4810,Townsville QLD,T-W,Home,672491,Shutters Installed,5399.95,2023-04-04,2024-04-03,BRK-3390
POL-004009,Outback Assurance Group,4655,Hervey Bay QLD,L-P,Home,779905,,3553.46,2024-10-10,2025-10-10,
POL-004010,Southern Cross Insurance,6721,Port Hedland WA,T-W,SME,1053331,Shutters Installed,7694.12,2023-08-01,2024-07-31,BRK-1042
POL-004011,Pacific Rim Insurance,850,Alice Springs NT,B-F,SME,2109884,,3739.52,2023-05-30,2024-05-29,
POL-004012,Northbeam General,810,Darwin NT,T-W,Home,526687,,5362.09,2024-08-29,2025-08-29,BRK-2071
POL-004013,Northbeam General,850,Alice Springs NT,B-F,SME,565245,Shutters Installed,918.59,2024-12-06,2025-12-06,BRK-1042
POL-004014,Outback Assurance Group,4870,Cairns QLD,T-W,Home,340555,,3108.58,2025-02-03,2026-02-03,BRK-1042
POL-004015,Northbeam General,4870,Cairns QLD,T-W,Home,836655,,8370.58,2023-10-14,2024-10-13,BRK-4118
POL-004016,Northbeam General,810,Darwin NT,T-W,Home,462775,Roof Tie-Down,3908.53,2025-06-19,2026-06-19,BRK-4118
POL-004017,Northbeam General,4350,Toowoomba QLD,B-F,Home,477614,Elevated Slab,713.41,2024-12-30,2025-12-30,BRK-1042
POL-004018,Pacific Rim Insurance,4870,Cairns QLD,T-W,Home,289548,Roof Tie-Down,2379.87,2024-06-22,2025-06-22,BRK-2071
POL-004019,Coral Coast Mutual,4802,Townsville QLD,T-W,Home,796351,,6981.23,2023-01-04,2024-01-04,BRK-1042
POL-004020,Coral Coast Mutual,4825,Cloncurry QLD,B-F,Strata,12799446,Roof Tie-Down,21472.52,2023-08-25,2024-08-24,
POL-004021,Southern Cross Insurance,6000,Perth WA,B-F,Home,879288,,1663.75,2024-10-01,2025-10-01,BRK-4118
POL-004022,Outback Assurance Group,4810,Townsville QLD,T-W,SME,1501055,Roof Tie-Down,12621.08,2024-10-10,2025-10-10,BRK-1042
POL-004023,Southern Cross Insurance,4879,Innisfail QLD,T-W,Home,687763,Shutters Installed,5435.85,2024-06-30,2025-06-30,
POL-004024,Pacific Rim Insurance,4720,Charters Towers QLD,L-P,SME,975061,Roof Tie-Down,3602.37,2024-03-15,2025-03-15,BRK-1042
POL-004025,Coral Coast Mutual,4825,Mount Isa QLD,B-F,Home,849867,,1469.52,2024-04-14,2025-04-14,BRK-2071
POL-004026,Southern Cross Insurance,4737,Bowen QLD,Q-S,SME,1323954,,7871.89,2025-04-28,2026-04-28,
POL-004027,Northbeam General,4740,Mackay QLD,Q-S,Strata,5558295,,37388.68,2025-01-29,2026-01-29,BRK-1042
POL-004028,Pacific Rim Insurance,4870,Cairns QLD,T-W,SME,1250617,Elevated Slab,10310.12,2024-09-25,2025-09-25,
POL-004029,Coral Coast Mutual,6721,Port Hedland WA,T-W,Strata,11806778,Roof Tie-Down,104634.13,2025-02-03,2026-02-03,
POL-004030,Coral Coast Mutual,810,Darwin NT,T-W,SME,2389655,,24965.98,2025-01-21,2026-01-21,BRK-4118
POL-004031,Southern Cross Insurance,4870,Cairns QLD,T-W,SME,2437684,Roof Tie-Down,19397.46,2024-12-07,2025-12-07,BRK-1042
POL-004032,Northbeam General,4720,Charters Towers QLD,L-P,Home,381350,Elevated Slab,1404.5,2024-07-09,2025-07-09,BRK-2071
POL-004033,Coral Coast Mutual,4879,Innisfail QLD,T-W,Strata,10824221,Elevated Slab,94503.83,2024-11-13,2025-11-13,BRK-1042
POL-004034,Northbeam General,4870,Cairns QLD,T-W,Home,419308,,3951.47,2024-02-16,2025-02-15,
POL-004035,Pacific Rim Insurance,4802,Townsville QLD,T-W,Home,706110,Elevated Slab,5637.81,2025-04-30,2026-04-30,BRK-2071
POL-004036,Outback Assurance Group,4870,Cairns QLD,T-W,Home,719286,,7029.44,2023-03-29,2024-03-28,BRK-3390
POL-004037,Pacific Rim Insurance,6714,Karratha WA,T-W,Home,881480,,8668.79,2025-01-01,2026-01-01,BRK-4118
POL-004038,Pacific Rim Insurance,4810,Townsville QLD,T-W,Home,862087,Shutters Installed,6601.92,2023-11-22,2024-11-21,BRK-2071
POL-004039,Outback Assurance Group,4825,Cloncurry QLD,B-F,Home,749773,Shutters Installed,1142.63,2023-06-05,2024-06-04,
POL-004040,Northbeam General,6714,Karratha WA,T-W,Strata,8378394,,76353.42,2024-07-16,2025-07-16,BRK-1042
POL-004041,Southern Cross Insurance,4825,Cloncurry QLD,B-F,Home,275833,,478.34,2025-08-04,2026-08-04,
POL-004042,Pacific Rim Insurance,6721,Port Hedland WA,T-W,Home,656356,Elevated Slab,5119.51,2024-07-18,2025-07-18,BRK-3390
POL-004043,Coral Coast Mutual,4703,Rockhampton QLD,Q-S,Home,395830,,2619.33,2025-08-29,2026-08-29,
